Permission,Role,Role Type
aiplatform.annotations.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotations.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotations.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotations.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotations.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.annotations.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotations.list,Owner (roles/owner),Basics Role
aiplatform.annotations.list,Editor (roles/editor),Basics Role
aiplatform.annotations.list,Viewer (roles/viewer),Basics Role
aiplatform.annotations.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotations.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotations.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotations.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotations.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.annotations.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.annotations.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.annotations.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.annotations.update,Owner (roles/owner),Basics Role
aiplatform.annotations.update,Editor (roles/editor),Basics Role
aiplatform.annotations.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.annotations.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.annotations.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.annotations.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.annotations.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.artifacts.create,Owner (roles/owner),Basics Role
aiplatform.artifacts.create,Editor (roles/editor),Basics Role
aiplatform.artifacts.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.artifacts.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.artifacts.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.artifacts.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.artifacts.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.artifacts.delete,Owner (roles/owner),Basics Role
aiplatform.artifacts.delete,Editor (roles/editor),Basics Role
aiplatform.artifacts.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.artifacts.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.artifacts.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.artifacts.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.artifacts.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.artifacts.get,Owner (roles/owner),Basics Role
aiplatform.artifacts.get,Editor (roles/editor),Basics Role
aiplatform.artifacts.get,Viewer (roles/viewer),Basics Role
aiplatform.artifacts.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.artifacts.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.artifacts.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.artifacts.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.artifacts.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.artifacts.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.artifacts.list,Owner (roles/owner),Basics Role
aiplatform.artifacts.list,Editor (roles/editor),Basics Role
aiplatform.artifacts.list,Viewer (roles/viewer),Basics Role
aiplatform.artifacts.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.artifacts.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.artifacts.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.artifacts.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.artifacts.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.artifacts.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.artifacts.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.artifacts.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.artifacts.update,Owner (roles/owner),Basics Role
aiplatform.artifacts.update,Editor (roles/editor),Basics Role
aiplatform.artifacts.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.artifacts.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.artifacts.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.artifacts.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.artifacts.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.cancel,Owner (roles/owner),Basics Role
aiplatform.batchPredictionJobs.cancel,Editor (roles/editor),Basics Role
aiplatform.batchPredictionJobs.cancel,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.batchPredictionJobs.cancel,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.batchPredictionJobs.cancel,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.cancel,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.batchPredictionJobs.cancel,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.create,Owner (roles/owner),Basics Role
aiplatform.batchPredictionJobs.create,Editor (roles/editor),Basics Role
aiplatform.batchPredictionJobs.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.batchPredictionJobs.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.batchPredictionJobs.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.batchPredictionJobs.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.delete,Owner (roles/owner),Basics Role
aiplatform.batchPredictionJobs.delete,Editor (roles/editor),Basics Role
aiplatform.batchPredictionJobs.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.batchPredictionJobs.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.batchPredictionJobs.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.batchPredictionJobs.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.get,Owner (roles/owner),Basics Role
aiplatform.batchPredictionJobs.get,Editor (roles/editor),Basics Role
aiplatform.batchPredictionJobs.get,Viewer (roles/viewer),Basics Role
aiplatform.batchPredictionJobs.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.batchPredictionJobs.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.batchPredictionJobs.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.batchPredictionJobs.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.batchPredictionJobs.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.list,Owner (roles/owner),Basics Role
aiplatform.batchPredictionJobs.list,Editor (roles/editor),Basics Role
aiplatform.batchPredictionJobs.list,Viewer (roles/viewer),Basics Role
aiplatform.batchPredictionJobs.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.batchPredictionJobs.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.batchPredictionJobs.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.batchPredictionJobs.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.batchPredictionJobs.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.batchPredictionJobs.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.batchPredictionJobs.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.batchPredictionJobs.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.contexts.addContextArtifactsAndExecutions,Owner (roles/owner),Basics Role
aiplatform.contexts.addContextArtifactsAndExecutions,Editor (roles/editor),Basics Role
aiplatform.contexts.addContextArtifactsAndExecutions,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.contexts.addContextArtifactsAndExecutions,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.contexts.addContextArtifactsAndExecutions,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.contexts.addContextArtifactsAndExecutions,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.contexts.addContextArtifactsAndExecutions,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.contexts.addContextChildren,Owner (roles/owner),Basics Role
aiplatform.contexts.addContextChildren,Editor (roles/editor),Basics Role
aiplatform.contexts.addContextChildren,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.contexts.addContextChildren,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.contexts.addContextChildren,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.contexts.addContextChildren,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.contexts.addContextChildren,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.contexts.create,Owner (roles/owner),Basics Role
aiplatform.contexts.create,Editor (roles/editor),Basics Role
aiplatform.contexts.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.contexts.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.contexts.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.contexts.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.contexts.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.contexts.delete,Owner (roles/owner),Basics Role
aiplatform.contexts.delete,Editor (roles/editor),Basics Role
aiplatform.contexts.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.contexts.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.contexts.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.contexts.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.contexts.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.contexts.get,Owner (roles/owner),Basics Role
aiplatform.contexts.get,Editor (roles/editor),Basics Role
aiplatform.contexts.get,Viewer (roles/viewer),Basics Role
aiplatform.contexts.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.contexts.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.contexts.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.contexts.get,Vertex AI User (roles/aiplatform.user),Predefined Role
